Species,grassland,site,grass.forb.shrub,photosynthesis,annual.perennial,max.height (mm),root.diameter (mm),SRL (m g-1),root.tissue.density (cm3 g-1),root.nitrogen.content (%),SLA (cm2 g-1),LDMC (g g-1),Leaf.tissue.density (cm3 g-1),Leaf.area (cm2),tugor.loss.point (Mpa),leaf.nitrogen.content (%),author_location.primary,relation.to.EDGE.primary,author_location.secondary,relation.to.EDGE.secondary,author_location.tertiary,relation.to.EDGE.tertiary
Musineondivaricatum,northern mixedgrass,CHY,F,C3,Perennial,6.85,NA,NA,NA,NA,98.72758824,0.194083985,0.16887982,3.292,-1.102265773,3.204,DB_WY,local,NA,NA,NA,NA
Oenotheracoronopifolia,northern mixedgrass,CHY,F,C4,Perennial,11.875,0.3129,72.47169235,NA,1.06,87.39339585,0.243119051,NA,0.9455,-0.672808872,1.775,DB_WY,local,NA,NA,NA,NA
Pascopyrumsmithii,northern mixedgrass,CHY,G,C3,Perennial,31.055,0.3128,39.31760857,0.2845681,0.88,75.48453217,0.381474082,0.46392425,5.1705,-1.395786971,2.31,DB_WY,local,NA,NA,NA,NA
Penstemonalbidus,northern mixedgrass,CHY,F,C3,Perennial,13.425,0.23682,118.2733738,NA,0.94,96.92319451,0.271293342,NA,2.184,-0.523550221,1.668,DB_WY,local,NA,NA,NA,NA
Phloxhoodii,northern mixedgrass,CHY,F,C4,Perennial,2.825,0.33018,47.89818564,0.327272727,1.18,139.5070877,0.262580645,0.40898618,0.030829593,-0.848817505,2.326666667,DB_WY,local,NA,NA,NA,NA
Plantagopatagonica,northern mixedgrass,CHY,F,C3,Annual,7.655,0.168471429,264.2943584,NA,1.25,111.1843241,0.250117064,NA,1.199,-0.42831196,1.294,DB_WY,local,NA,NA,NA,NA
Potentillapensylvanica,northern mixedgrass,CHY,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaeralceacoccinea,northern mixedgrass,CHY,F,C3,Perennial,8.865,0.259766667,70.74975685,0.133333333,1.5,91.28928662,0.300322517,0.22081766,2.609722222,-0.940412773,2.475,DB_WY,local,NA,NA,NA,NA
Stipacomata,northern mixedgrass,CHY,G,C3,Perennial,25.305,0.286883333,39.04902073,0.65,0.683333333,59.60760204,0.443618722,0.28232236,1.44825,-1.933388738,1.578,DB_WY,local,NA,NA,NA,NA
Taraxacumofficinale,northern mixedgrass,CHY,F,C3,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragopogondubius,northern mixedgrass,CHY,F,C3,Biennial,51.08075,0.434975,22.84106,0.3711031,1.137,141.6648016,0.217106333,0.3306402,8.4654524,-1.074377472,3.029,DB_CO,local,NA,NA,NA,NA
Vulpiaoctoflora,northern mixedgrass,CHY,G,C3,Annual,6.495,0.12178,484.0989444,0.243376475,1.18,150.1410832,0.277615645,0.7305598,0.144238,-1.804843108,2.106,DB_WY,local,NA,NA,NA,NA
Achilleamillefolium,southern mixedgrass,HYS,F,C3,Perennial,40.359167,0.2537,73.90947,0.3156046,0.685,169.867,0.28098,0.272,2.3824048,-1.8366896,NA,ST_KS,regional,TRY_KS,regional,NA,NA
Ambrosiapsilostachya,southern mixedgrass,HYS,F,C3,Perennial,44.425,NA,NA,NA,1.29,108.6214169,0.2879133,0.67,4.920375,-2.73749216,NA,AS_KS,local,NA,NA,NA,NA
Andropogonternarius,southern mixedgrass,HYS,G,C4,Perennial,118.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRY_global,global,NA,NA,NA,NA
Aristidapurpurea,southern mixedgrass,HYS,G,C4,Annual,7.35,0.2046,120.4515543,0.278714286,NA,103.569861,0.475938433,0.5223002,0.2265,-2.6865728,NA,AS_KS,local,NA,NA,NA,NA
Asterericoides,southern mixedgrass,HYS,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteroblongifolius,southern mixedgrass,HYS,F,C3,Perennial,52.3,0.3149333,44.7963,0.3241536,NA,127.32011,NA,0.4587015,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Astragaluscrassicarpus,southern mixedgrass,HYS,F,C3,Perennial,NA,NA,NA,NA,NA,135.86957,NA,0.46,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Boutelouacurtipendula,southern mixedgrass,HYS,G,C4,Perennial,68.495,0.12054,222.8852772,0.45474026,0.884,158.4683619,0.441390407,0.5498623,4.08076,-2.8125968,NA,AS_KS,local,NA,NA,NA,NA
Boutelouagracilis,southern mixedgrass,HYS,G,C4,Perennial,26.0065,0.183741667,123.04093,0.3752851,0.56,130.267628,0.482589445,0.412646057,0.92273,-3.80408,1.6829445,AS_KS,local,NA,NA,NA,NA
Boutelouahirsuta,southern mixedgrass,HYS,G,C4,Perennial,NA,NA,NA,NA,NA,NA,0.463121629,NA,NA,-2.5251488,NA,AS_KS,local,NA,NA,NA,NA
Bromusjaponicus,southern mixedgrass,HYS,G,C3,Annual,31.42857,NA,NA,NA,NA,NA,0.2866,0.33,2.499,NA,NA,TRY_global,global,NA,NA,NA,NA
Buchloedactyloides,southern mixedgrass,HYS,G,C4,Perennial,NA,NA,NA,NA,0.78,131.75231,0.5325,NA,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Cirsiumundulatum,southern mixedgrass,HYS,F,C3,Perennial,43.87714286,NA,NA,NA,NA,71.73601,0.256133344,0.41,41.22380952,-1.080581418,1.964714286,AS_KS,local,NA,NA,NA,NA
Conyzacanadensis,southern mixedgrass,HYS,F,C3,Annual,96.65909,NA,NA,NA,NA,0.00924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erigeronstrigosus,southern mixedgrass,HYS,F,C3,Annual,65.9,NA,NA,NA,NA,83.33333,0.93,0.4,1.11,NA,NA,AS_KS,local,NA,NA,NA,NA
Erysimumasperum,southern mixedgrass,HYS,F,C3,Biennial,NA,NA,NA,NA,NA,NA,0.263038549,NA,NA,NA,NA,AS_KS,local,NA,NA,NA,NA
Gutierreziasarothrae,southern mixedgrass,HYS,S,C3,Perennial,38.14667,0.2064,88.03055556,0.36,1.24,95.2121,0.376374603,0.15435775,0.19084,-2.454065,1.534,AS_KS,local,NA,NA,NA,NA
Hedeomahispida,southern mixedgrass,HYS,F,C3,Annual,NA,NA,NA,NA,NA,115.15152,NA,0.4824561,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Kuhniaeupatorioides,southern mixedgrass,HYS,F,C3,Perennial,89.5,NA,NA,NA,NA,140.25245,NA,0.31,NA,NA,NA,TRY_KS,regional,NA,NA,NA,NA
Lepidiumdensiflorum,southern mixedgrass,HYS,F,C3,Annual,21.6007619,0.10341665,312.705475,0.40364305,1.816666667,179.214455,0.199008,0.4774524,0.66040278,-0.839135831,3.707,ST_KS,regional,TRY_KS,regional,NA,NA
Liatrispunctata,southern mixedgrass,HYS,F,C3,Perennial,30.68167,0.3042,118.81,0.168,1.06,54.39829,0.312267,0.469593,1.21275,-0.914981833,1.664,AS_KS,local,NA,NA,NA,NA
Linumrigidum,southern mixedgrass,HYS,F,C3,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
