Species,grassland,site,grass.forb.shrub,photosynthesis,annual.perennial,max.height (mm),root.diameter (mm),SRL (m g-1),root.tissue.density (cm3 g-1),root.nitrogen.content (%),SLA (cm2 g-1),LDMC (g g-1),Leaf.tissue.density (cm3 g-1),Leaf.area (cm2),tugor.loss.point (Mpa),leaf.nitrogen.content (%),author_location.primary,relation.to.EDGE.primary,author_location.secondary,relation.to.EDGE.secondary,author_location.tertiary,relation.to.EDGE.tertiary
Sisymbriumaltissimum,northern shortgrass,SGS,F,C3,Annual,90.645835,NA,NA,NA,NA,208,0.1219667,NA,NA,NA,NA,TRY_global,global,NA,NA,NA,NA
Sphaeralceacoccinea,northern shortgrass,SGS,F,C3,Perennial,13.224,0.274783335,99.97988,0.133333333,1.5,102.8873489,0.335130805,0.22081766,4.9,-1.77186088,3.143,DB_CO,local,NA,NA,NA,NA
Thelespermafilifolium,northern shortgrass,SGS,F,C3,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tragopogondubius,northern shortgrass,SGS,F,C3,Biennial,38.908,0.434975,22.84106,0.3711031,1.137,173.150804,0.197718638,0.3306402,9.15,-1.074377472,3.029,DB_CO,local,NA,NA,NA,NA
Vulpiaoctoflora,northern shortgrass,SGS,G,C3,Annual,7.264,0.12178,484.0989444,0.243376475,1.18,192.4544519,0.382109717,0.7305598,0.1421,-1.804843108,1.775555556,DB_CO,local,NA,NA,NA,NA
Allioniaincarnata,southern shortgrass,SBL,F,C4,Perennial,NA,NA,NA,NA,NA,174.4222318,0.234886336,NA,NA,-2.0904368,2.0315,AS_NM,regional,RG_NM,regional,NA,NA
Astragalusfeensis,southern shortgrass,SBL,F,C3,Perennial,NA,NA,NA,NA,NA,137.0900484,NA,NA,NA,NA,4.6213,RG_NM,regional,NA,NA,NA,NA
Astragalussp.,southern shortgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaesycelata,southern shortgrass,SBL,F,C4,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaesyceserrula,southern shortgrass,SBL,F,C4,Annual,NA,NA,NA,NA,NA,200.318309,0.29294965,NA,NA,NA,1.5738,SEV_NM,local,RG_NM,regional,NA,NA
Cryptanthacrassisepala,southern shortgrass,SBL,F,C3,Annual,NA,NA,NA,NA,NA,177.568032,0.1474635,NA,NA,NA,1.3902,SEV_NM,local,RG_NM,regional,NA,NA
Descurainiapinnata,southern shortgrass,SBL,F,C3,Annual,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaexstipulata,southern shortgrass,SBL,F,C3,Perennial,NA,NA,NA,NA,NA,214.6976351,0.1639677,NA,NA,NA,2.4043,SEV_NM,local,RG_NM,regional,NA,NA
Gutierreziasarothrae,southern shortgrass,SBL,S,C3,Perennial,23,0.2064,88.03055556,0.36,1.24,100.1001,0.39024694,0.15435775,0.19084,-2.6681648,1.534,AS_AZ,regional,NA,NA,NA,NA
Hoffmannseggiadrepanocarpa,southern shortgrass,SBL,F,C3,Perennial,NA,NA,NA,NA,NA,157.2577,0.34375,NA,NA,NA,2.0165,SEV_NM,local,RG_NM,regional,NA,NA
Ipomopsispumila,southern shortgrass,SBL,F,C3,Annual,NA,NA,NA,NA,NA,140.5887511,NA,NA,NA,NA,2.1754,RG_NM,regional,NA,NA,NA,NA
Kallstroemiaparviflora,southern shortgrass,SBL,F,C4,Annual,NA,NA,35.12971,NA,NA,255.3065862,0.1840491,NA,NA,NA,1.6903,SEV_NM,local,RG_NM,regional,SEV_NM,regional
Lesquerellafendleri,southern shortgrass,SBL,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linumpuberulum,southern shortgrass,SBL,F,C3,Annual,NA,NA,NA,NA,NA,92.05271912,NA,NA,NA,NA,1.4107,RG_NM,regional,NA,NA,NA,NA
Machaerantherapinnatifida,southern shortgrass,SBL,F,C3,Perennial,NA,NA,NA,NA,NA,141.826168,0.365723939,NA,NA,NA,2.1071,RG_NM,regional,NA,NA,NA,NA
Muhlenbergiaarenicola,southern shortgrass,SBL,G,C4,Perennial,NA,NA,NA,NA,NA,144.308259,NA,NA,NA,NA,2.062,RG_NM,regional,NA,NA,NA,NA
Oenotheracaespitosa,southern shortgrass,SBL,F,C3,Perennial,15.24,NA,21.5562,NA,NA,184.4391,0.1641565,NA,NA,NA,NA,SEV_NM,local,NA,NA,NA,NA
Phaceliacrenulata,southern shortgrass,SBL,F,C3,Annual,NA,NA,NA,NA,NA,174.0738454,0.1261692,NA,NA,NA,2.4692,RG_NM,regional,SEV_NM,regional,NA,NA
Plantagopatagonica,southern shortgrass,SBL,F,C3,Annual,11.88675,0.168471429,24.58387,NA,1.25,110.755,0.231891593,NA,1.421875,-0.69552658,1.8764,SEV_NM,local,RG_NM,regional,SEV_NM,regional
Pleuraphisjamesii,southern shortgrass,SBL,G,C3,Perennial,60.96,NA,NA,NA,NA,139.5706886,NA,NA,NA,NA,1.2327,RG_NM,regional,NA,NA,NA,NA
Sphaeralceapolychroma,southern shortgrass,SBL,F,C3,Perennial,NA,NA,NA,NA,NA,119.6743415,NA,NA,NA,NA,4.3008,RG_NM,regional,NA,NA,NA,NA
Sporobolussp.,southern shortgrass,SBL,G,C4,Perennial,NA,NA,NA,NA,NA,101.7955765,NA,NA,NA,NA,1.2816,RG_NM,regional,NA,NA,NA,NA
Allioniaincarnata,desert,SBK,F,C4,Perennial,NA,NA,NA,NA,NA,174.4222318,0.234886336,NA,NA,-2.0904368,2.0315,RG_NM,regional,AS_NM,regional,NA,NA
Alliummacropetalum,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristidaadscensionis,desert,SBK,G,C4,Annual,29.33333,NA,162.48222,NA,NA,265.2631,0.352607,NA,NA,NA,NA,SEV_ NM,local,TRY_global,global,NA,NA
Astragalusfeensis,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalussp.,desert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boutelouaeriopoda,desert,SBK,G,C4,Perennial,60.96,NA,NA,NA,NA,165.7349725,0.358500582,NA,NA,-2.6979008,2.11225,AS_NM,regional,RG_NM,regional,NA,NA
Boutelouagracilis,desert,SBK,G,C4,Perennial,34.5,0.183741667,123.04093,0.3752851,0.56,110.4342855,0.41375,0.412646057,1.09699,-2.517091661,1.3646,TRY_AZ,regional,NA,NA,NA,NA
Chamaesycealbomarginata,desert,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,126.4952309,NA,NA,1.2973,NA,NA,RG_NM,regional,NA,NA,NA,NA
Chamaesyceserpyllifolia,desert,SBK,F,C4,Annual,1.527778,NA,NA,NA,NA,199.2828272,NA,NA,NA,NA,1.6056,RG_NM,regional,TRY_AZ,regional,NA,NA
Dasyochloapulchella,desert,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,165.6899912,0.440023543,NA,NA,-4.6562288,1.055,AS_NM,regional,RG_NM,regional,NA,NA
Descurainiapinnata,desert,SBK,F,C3,Annual,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinomastusintertextus,desert,SBK,S,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escobariavivipara,desert,SBK,S,CAM,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbiaexstipulata,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,214.6976351,NA,NA,NA,NA,2.4043,RG_NM,regional,NA,NA,NA,NA
Gauracoccinea,desert,SBK,F,C3,Perennial,NA,NA,73.07968,NA,NA,149.3403465,0.2637897,NA,NA,NA,2.5336,SEV_ NM,regional,RG_NM,regional,NA,NA
Glandulariabipinnatifida,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,144.3609,NA,0.2770833,NA,NA,NA,TRY_KS,global,NA,NA,NA,NA
Kallstroemiaparviflora,desert,SBK,F,C4,Annual,NA,NA,35.12971,NA,NA,261.6331,0.2186391,NA,NA,NA,1.6903,SEV_NM,local,RG_NM,regional,SEV_NM,regional
Lepidiumdensiflorum,desert,SBK,F,C3,Annual,32,0.15235,NA,0.40364305,1.421,223.95658,0.1758455,0.46227389,2.4471636,-0.839135831,3.707,TRY_AZ,regional,NA,NA,NA,NA
Lotusplebeius,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muhlenbergiaarenicola,desert,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,144.308259,NA,NA,NA,NA,2.062,RG_NM,regional,NA,NA,NA,NA
Oenotheracaespitosa,desert,SBK,F,C3,Perennial,15.24,NA,21.5562,NA,NA,297.9888,0.1205563,NA,NA,NA,NA,SEV_NM,local,SEV_NM,regional,NA,NA
Plantagopatagonica,desert,SBK,F,C3,Annual,11.88675,0.168471429,24.58387,NA,1.25,183.5855,0.221869643,NA,1.421875,-0.69552658,1.8764,SEV_NM,local,RG_NM,regional,SEV_NM,regional
Salsolatragus,desert,SBK,F,C4,Annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sennabauhinioides,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaeralceahastulata,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,140.4603642,NA,NA,NA,NA,2.31,RG_NM,regional,NA,NA,NA,NA
Sphaeralceapolychroma,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,119.6743415,NA,NA,NA,NA,4.3008,RG_NM,regional,NA,NA,NA,NA
Sporobolussp.,desert,SBK,G,C4,Perennial,NA,NA,NA,NA,NA,159.6265199,NA,NA,NA,NA,2.402,RG_NM,regional,NA,NA,NA,NA
Stephanomeriapauciflora,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,165.979668,NA,NA,NA,NA,2.7742,RG_NM,regional,NA,NA,NA,NA
Zinniagrandiflora,desert,SBK,F,C3,Perennial,NA,NA,NA,NA,NA,NA,0.444217033,NA,NA,-4.05561824,NA,AS_NM,regional,NA,NA,NA,NA
